Category ID,Category 
37705,Second Hand Desktop Computers
44938,Used Machines
46059,Used Air Compressor
46060,Second Hand Air Conditioner
53817,Used Electric Motor
105926,Second Hand Laptop
128857,Refurbished Computer
132970,Refurbished HPLC System
140309,Used Computer Parts
140820,Used Printing Machine
140821,Used Transformer
142424,Used Injection Molding Machines
142555,Used Bulldozer
143938,Used SS Reactor
144180,Used HDPE Drum
144229,Second Hand Motorbike
145716,Used Restaurant Equipment
147144,Second Hand Tyre
149844,Second Hand Cars
149944,Refurbished Medical Equipment
152669,Used Circular Knitting Machine
153977,Used Paper Cup Machines
154722,Old Computer Processors
155616,Used Truck Tyres
156943,Used Jumbo Bags
157547,Old Newspapers
158165,Used CNC Laser Machine
158674,Refurbished CT Scanner
162792,Refurbished Laptops
164613,Used Plastic Injection Moulding Machine
164956,Used Shipping Containers
166765,Used Warp Knitting Machine
167795,Used Clothes
169079,Used Transformer Oil
169398,Used LCD Monitor
175502,Second Hand Cars Dealer
177203,Used Textile Machinery
177653,Old Diesel Engine
178209,Used Industrial Boiler
178537,Second Hand Server
178622,Refurbished Server
179214,Old Dhoti
179995,Used Plastic Pallets
180331,Used Mobile Phones
180830,Second Hand Refrigerator
181147,Second Hand Washing Machine
182632,Used Offset Printing Machine
182647,Used Boilers
182660,Used Milling Machine
182841,Used Canon IR3300 Copiers
182858,Used Crane
182976,Used Plastic Drums
183673,Used Printer
184852,Dell Second Hand Laptop
184856,Second Hand Lenovo Laptop
185008,Maruti Second Hand Cars
185101,Used Reactors
185353,Used Motherboard
186171,Second Hand Restaurant Furniture
186472,Used Lathe Machine
186473,Used Embroidery Machine
186730,Second Hand Sewing Machine
186881,Used Grinding Machine
187137,Second Hand Scooty
187374,Used Buses
187382,Used Bus Tyres
187385,Used Trucks
187862,Refurbished Defibrillator
187900,Used Drilling Machine
187903,Used CNC Lathe Machine
187905,Used Press Machine
189361,Second Hand Hyundai Cars
189362,Honda Used Cars
189372,Mahindra Used Cars
189383,TATA Used Cars
189388,Toyota Used Cars
189445,Ford Used Cars
189448,Nissan Used Cars
189571,Used CNC Turning Machine
190029,Second Hand Vehicles
190312,Used Gunny Bag
190317,Second Hand Scooter
190947,Mitsubishi Used Cars
191005,Used UPS
191089,Used Flat Knitting Machine
193304,Used JCB Excavator
193310,Used JCB Telehandler
193418,Used Excavator
193420,Used Backhoe Loaders
193421,Used Wheel Loader
193422,Used Skid Steer Loader
193423,Used Earthmoving Machinery
193424,Used Diesel Generators
194757,Used 3D Printer
194758,Used AC Motors
194763,Used Alternator
194769,Second Hand Auto Rickshaw
194772,Used Ball Mills
194773,Used Barcode Printers
194778,Used BiPAP Machine
194779,Used Block Making Machine
194780,Used Bucket Elevator
194781,Used Cabinet Doors
194783,Used Cafeteria Furniture
194786,Used Car Lift
194787,Used Card Printer
194791,Used Ceiling Lights
194793,Used Centrifugal Pumps
194794,Used Chandeliers
194800,Used Commercial Kitchen Equipments
194802,Used Commercial Vehicle
194803,Used Office Furniture
194804,Used Computer Keyboard
194814,Used Countertops
194816,Second Hand CPU
194820,Used Cutting Plotter
194821,Used DC Motors
194829,Used Diaphragm Pumps
194830,Used Die Cutting Machines
194831,Used Diesel Air Compressor
194832,Used Diesel Pumps
194834,Second Hand Dining Chairs
194835,Used Dining Table
194839,Used Display Racks
194842,Second Hand Double Bed
194843,Second Hand Dressing Table
194849,Used Electric Golf Cart
194850,Used Electric Oven
194851,Used Electric Stacker
194857,Used Filter Press
194861,Used Flexographic Printing Machine
194865,Used Forklift
194866,Used Free Weights
194867,Second Hand Freezers
194868,Used Fuel Dispenser
194869,Used Fuel Pump
194872,Used Garage Doors
194875,Used Gas Compressors
194880,Second Hand Gym Equipments
194891,Used Hydraulic Pumps
194892,Used Incinerator
194893,Used Industrial Batteries
194895,Used Industrial Motors
194896,Used Industrial Washing Machine
194897,Used Infrared Camera
194901,Used Jib Cranes
194906,Used Label Printer
194908,Used Laser Printer
194910,Used Lead Acid Battery
194912,Used LED Monitor
194913,Used Library Furniture
194923,Used Microwave Oven
194924,Used MIG Welding Machine
194928,Used Motor Grader
194929,Used Multimeter
194930,Used Network Switch
194933,Used Office Chairs
194935,Used Office Tables
194936,Used Office Workstation
194937,Used Oil Press
194938,Used Oil Pump
194939,Used Oscilloscope
194940,Used Oxygen Concentrator
194941,Used Ozone Generators
194942,Used Pad Printing Equipment
194943,Used Paint Booth
194945,Second Hand Paper Cutting Machine
194946,Used Paper Machinery
194947,Used Petrol Generator
194948,Used PH Meter
194954,Used Portable Generator
194957,Used Power Meters
194961,Used PVC Doors
194966,Used Refractometer
194967,Used Refrigeration Compressors
194968,Used Road Roller
194971,Used Rotary Air Compressor
194973,Used Sand Filters
194975,Used Screen Printing Equipment
194977,Used Servo Motors
194978,Used Sheet Metal Machinery
194981,Used Sliding Doors
194982,Second Hand Smart Phone
194985,Second Hand Sofa Set
194986,Used Solar Battery
194991,Used Spectrometer
194992,Used Spectrophotometer
194993,Used Split Air Conditioners
194995,Used Stainless Steel Sheet
194996,Used Steam Boilers
194997,Used Steel Plates
194998,Used Stepper Motor
195001,Used Submersible Pumps
195002,Used Surveillance Systems
195013,Used Tower Crane
195015,Used Truck Mounted Crane
195017,Used Tube Mills
