Category ID,Category
164956,Used Shipping Containers
193424,Used Diesel Generators
187385,Used Trucks
193418,Used Excavator
186472,Used Lathe Machine
193420,Used Backhoe Loaders
182976,Used Plastic Drums
220911,Used Vertical Machining Centers
193304,Used JCB Excavator
655627,Used Hydra Crane
114027,Used Oil Recycling Plant
182632,Used Offset Printing Machine
186473,Used Embroidery Machine
214598,Used Paper Cup Making Machine
194880,Second Hand Gym Equipments
214594,Second Hand Xerox Machines
190029,Second Hand Vehicles
114292,Used Cooking Oil
658834,Used Tipper Truck
189571,Used CNC Turning Machine
53817,Used Electric Motor
182660,Used Milling Machine
215891,Used CNC Machine
186171,Second Hand Restaurant Furniture
44938,Used Machines
442488,Refurbished Printers
145716,Used Restaurant Equipment
177653,Old Diesel Engine
194865,Used Forklift
142424,Used Injection Molding Machines
46059,Used Air Compressor
179214,Old Dhoti
187905,Used Press Machine
195018,Used Ultrasound Machine
187903,Used CNC Lathe Machine
194954,Used Portable Generator
216584,Second Hand and Used Projector
139938,Used Engine Oil
216600,Second Hand and Used Filling Machines
164613,Used Plastic Injection Moulding Machine
156943,Used Jumbo Bags
194968,Used Road Roller
194802,Used Commercial Vehicle
216590,Second Hand and Used Gearbox
194800,Used Commercial Kitchen Equipments
445327,Used Surface Grinding Machine
194925,Used Mineral Water Plant
445326,Used Power Press
195041,Used Wooden Pallets
132970,Refurbished HPLC System
654940,Used Kirloskar Diesel Generator
194803,Used Office Furniture
653301,Used Solar Panel
216599,Second Hand and Used Molding Machines
214600,Used Mini Offset Printing Machine
193421,Used Wheel Loader
214595,Second Hand Fly Ash Brick Making Machine
194945,Second Hand Paper Cutting Machine
158674,Refurbished CT Scanner
140820,Used Printing Machine
187900,Used Drilling Machine
179995,Used Plastic Pallets
658820,Used Tanker
658860,Refurbished Hard Disk
182841,Used Canon IR3300 Copiers
194939,Used Oscilloscope
144180,Used HDPE Drum
158165,Used CNC Laser Machine
194928,Used Motor Grader
186881,Used Grinding Machine
235765,Refurbished X-Ray Machine
230285,Refurbished MRI Scanner
650307,Used Shearing Machine
444778,Used Bakery Machines
194786,Used Car Lift
658818,Used Concrete Mixer
216608,Second Hand and Used Welding Machine
222922,Used Jaw Crusher
142555,Used Bulldozer
140821,Used Transformer
194830,Used Die Cutting Machines
152669,Used Circular Knitting Machine
194940,Used Oxygen Concentrator
215028,Used Corrugator Machine
194763,Used Alternator
194896,Used Industrial Washing Machine
153977,Used Paper Cup Machines
195001,Used Submersible Pumps
650443,Refurbished CR Machine
194832,Used Diesel Pumps
193422,Used Skid Steer Loader
216558,Second Hand and Used Textile Machines
216605,Second Hand and Used Boring Machine
195008,Used Tiller
214588,Used Die Casting Machines
149944,Refurbished Medical Equipment
182647,Used Boilers
194936,Used Office Workstation
177203,Used Textile Machinery
444748,Used Conveyor Belt
360288,Refurbished Ventilator
194757,Used 3D Printer
194937,Used Oil Press
216554,Second Hand and Used Wooden Furniture
191005,Used UPS
195013,Used Tower Crane
216589,Second Hand and Used Trolley
178537,Second Hand Server
178622,Refurbished Server
194943,Used Paint Booth
194996,Used Steam Boilers
169079,Used Transformer Oil
194778,Used BiPAP Machine
214589,Used Rotogravure Printing Machine
191089,Used Flat Knitting Machine
193310,Used JCB Telehandler
654641,Used MS Drum
194924,Used MIG Welding Machine
195023,Used Vending Machine
222138,Refurbished Generator
193423,Used Earthmoving Machinery
194779,Used Block Making Machine
194783,Used Cafeteria Furniture
658814,Used Silent Diesel Generator
194861,Used Flexographic Printing Machine
217176,Used Eicher Trucks
415429,Used Rapier Loom
194913,Used Library Furniture
658861,Used Concrete Machinery
194978,Used Sheet Metal Machinery
194831,Used Diesel Air Compressor
214596,Used Centerless Grinding Machines
195020,Used UPVC Windows
194889,Used Hydraulic Jacks
442392,Refurbished Office Chair
658821,Second Hand Mahindra Generator
194794,Used Chandeliers
658815,Used Caterpillar Generators
194821,Used DC Motors
194868,Used Fuel Dispenser
194930,Used Network Switch
194967,Used Refrigeration Compressors
194992,Used Spectrophotometer
222849,Refurbished Patient & Surgical Monitor
658812,Used Cummins Diesel Generator
194772,Used Ball Mills
194891,Used Hydraulic Pumps
216557,Second Hand and Used Spinning Machinery
195014,Used Tractor Attachments
194966,Used Refractometer
166765,Used Warp Knitting Machine
194773,Used Barcode Printers
194893,Used Industrial Batteries
187862,Refurbished Defibrillator
194787,Used Card Printer
194857,Used Filter Press
215029,Used Cotton Candy Machine
658803,Refurbished Surgical Camera
658858,Refurbished UPS
194958,Used Power Plants
194986,Used Solar Battery
143938,Used SS Reactor
195033,Used Well Pump
121247,Used Lubricating Oil
194975,Used Screen Printing Equipment
194977,Used Servo Motors
195002,Used Surveillance Systems
178209,Used Industrial Boiler
194869,Used Fuel Pump
194910,Used Lead Acid Battery
194923,Used Microwave Oven
194929,Used Multimeter
194997,Used Steel Plates
316377,Used Corrugated Box
658920,Refurbished Endoscopy Camera
194946,Used Paper Machinery
194971,Used Rotary Air Compressor
185101,Used Reactors
194758,Used AC Motors
215854,Refurbished Spectrophotometer
194851,Used Electric Stacker
194991,Used Spectrometer
195017,Used Tube Mills
194793,Used Centrifugal Pumps
195022,Used Vacuum Pumps
194897,Used Infrared Camera
195029,Used Water Cooler
658862,Refurbished Dell Server
195021,Used UV Coating Machine
444876,Second Hand MCB
658892,Used Komatsu Excavator
215948,Used & Second Hand Backhoe Loader and Excavator
187382,Used Bus Tyres
194862,Used Floor Jacks
194781,Used Cabinet Doors
194829,Used Diaphragm Pumps
194875,Used Gas Compressors
194892,Used Incinerator
194901,Used Jib Cranes
195019,Used UPVC Doors
194780,Used Bucket Elevator
194938,Used Oil Pump
194995,Used Stainless Steel Sheet
194998,Used Stepper Motor
216594,Second Hand and Used Filters
194814,Used Countertops
194872,Used Garage Doors
194942,Used Pad Printing Equipment
194948,Used PH Meter
194957,Used Power Meters
194973,Used Sand Filters
209199,Used Switchgear
194941,Used Ozone Generators
195030,Used Water Meters
